dataset;condition;N;prev;sens;spec;source
---;condition name;1000;.10;.90; .85;no source
Mammography 1;breast cancer;1000;.01;.9;.91;Gigerenzer (2013),  p. 213Ð221
Nuchal translucency scan/NFT 1;Down syndrome/trisomy 21;1000;.01;.9;.95;Gigerenzer (2013),  p. 222Ð226
HIV 1;HIV positive;100000;.0001;1;.99995;Gigerenzer (2013),  p. 53
HIV 2;HIV positive;250000;.0001;1;.999996;Gigerenzer (2013),  p. 53
Mammography 2;breast cancer;1000;.01;.80;.90;Sedlmaier & Gigerenzer (2001), p.381ff.
Sepsis;suffering from sepsis;100;.10;.80;.90;Sedlmaier & Gigerenzer (2001), p.381ff.
Cab problem;blue;100;.15;.80;.80;"Tversky & Kahneman (1980, 1982); Sedlmaier & Gigerenzer (2001), p. 391"
Sigmoidoscopy 1;colon cancer;1000000;.00035;.70;.90;dkfz workshop
Sigmoidoscopy 2;colon cancer;1000000;.035;.70;.90;dkfz workshop
Mammography 3;breast cancer;1000;.01;.90;.91;dkfz workshop
Mammography 4;breast cancer;1000;.60;.90;.91;dkfz workshop
Mammography 5;breast cancer;1000;.94;.90;.91;dkfz workshop
HIV 3;HIV positive;10000000;.0001;.997;.999996;dkfz workshop
HIV 4;HIV positive;10000000;.0001;.997;.999996;dkfz workshop
Nuchal translucency scan/NFT 2;Down syndrome/trisomy 21;10000;.0192;.80;.82;dkfz workshop
Amniocentesis (AFT);Down syndrome/trisomy 21;10000;.08;.994;.995;dkfz workshop
Musical town;choir member;1000;.50;.20;.40;BNT (Cokeley et al., 2012)
Mushrooms;being poisenous;100;.20;.20;.95;BNT (Cokeley et al., 2012)
